Rank,Song,Artist,Weeks_on_Chart
1,Golden,"Huntr/X: Ejae, Audrey Nuna & Rei Ami",10
2,Ordinary,Alex Warren,29
3,What I Want,Morgan Wallen Featuring Tate Mcrae,15
4,Your Idol,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & Samuil Lee",10
5,Soda Pop,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & Samuil Lee",9
6,Love Me Not,Ravyn Lenae,22
7,Manchild,Sabrina Carpenter,12
8,Lose Control,Teddy Swims,106
9,How It'S Done,"Huntr/X: Ejae, Audrey Nuna & Rei Ami",9
10,Die With A Smile,Lady Gaga & Bruno Mars,54
11,Daisies,Justin Bieber,7
12,Just In Case,Morgan Wallen,23
13,A Bar Song (Tipsy),Shaboozey,72
14,Good News,Shaboozey,40
15,Mutt,Leon Thomas,30
16,I'M The Problem,Morgan Wallen,30
17,Beautiful Things,Benson Boone,83
18,I Got Better,Morgan Wallen,15
19,What It Sounds Like,"Huntr/X: Ejae, Audrey Nuna & Rei Ami",9
20,Pink Pony Club,Chappell Roan,63
21,Takedown,"Huntr/X: Ejae, Audrey Nuna & Rei Ami",9
22,All The Way,Bigxthaplug Featuring Bailey Zimmerman,21
23,Free,"Rumi, Jinu, Ejae & Andrew Choi",9
24,Undressed,Sombr,21
25,Birds Of A Feather,Billie Eilish,67
26,Luther,Kendrick Lamar & Sza,40
27,Mystical Magical,Benson Boone,18
28,Jealous Type,Doja Cat,1
29,Burning Blue,Mariah The Scientist,17
30,Backup Plan,Bailey Zimmerman & Luke Combs,17
31,Back To Friends,Sombr,22
32,Sorry I'M Here For Someone Else,Benson Boone,26
33,Yukon,Justin Bieber,7
34,It Depends,Chris Brown Featuring Bryson Tiller,5
35,Hell At Night,Bigxthaplug Featuring Ella Langley,3
36,The Subway,Chappell Roan,4
37,Folded,Kehlani,11
38,Happen To Me,Russell Dickerson,19
39,Blue Strips,Jessie Murph,20
40,Worst Way,Riley Green,33
41,30 For 30,Sza With Kendrick Lamar,36
42,After All The Bars Are Closed,Thomas Rhett,18
43,Apt.,Rose & Bruno Mars,45
44,Bar None,Jordan Davis,8
45,No Broke Boys,Disco Lines & Tinashe,7
46,Love Somebody,Morgan Wallen,45
47,Bottle Rockets,Scotty Mccreery & Hootie & The Blowfish,10
48,What Did I Miss?,Drake,8
49,Back In The Saddle,Luke Combs,5
50,Takedown,"Jeongyeon, Jihyo & Chaeyoung Of Twice",8
51,Strategy,Twice,6
52,Ceremony,Stray Kids,1
53,Sugar On My Tongue,"Tyler, The Creator",6
54,Somewhere Over Laredo,Lainey Wilson,8
55,6 Months Later,Megan Moroney,10
56,House Again,Hudson Westbrook,19
57,Wildflower,Billie Eilish,63
58,20 Cigarettes,Morgan Wallen,15
59,Is It A Crime,Mariah The Scientist & Kali Uchis,3
60,12 To 12,Sombr,2
61,Box Me Up,Bigxthaplug Featuring Jelly Roll,1
62,Amen,Shaboozey & Jelly Roll,18
63,Gabriela,Katseye,6
64,Your Way'S Better,Forrest Frank,19
65,Miami,Morgan Wallen Featuring Lil Wayne & Rick Ross,8
66,Just Keep Watching,Tate Mcrae,13
67,Better Me For You (Brown Eyes),Max Mcnown,11
68,Party 4 U,Charli Xcx,19
69,Don'T Mind If I Do,Riley Green Featuring Ella Langley,4
70,Marlboro Rojo,Fuerza Regida,15
71,Revolving Door,Tate Mcrae,20
72,Shake It To The Max (Fly),"Moliy, Silent Addy, Skillibeng & Shenseea",15
73,Different Species,Offset & Gunna,1
74,Outside,Cardi B,10
75,I Ain'T Coming Back,Morgan Wallen Featuring Post Malone,19
76,Nice To Meet You,Myles Smith,12
77,Sparks,Coldplay,7
78,Jump,Blackpink,7
79,So Far So Fake,Pierce The Veil,4
80,Superman,Morgan Wallen,16
81,Wgft,Gunna Featuring Burna Boy,3
82,Man I Need,Olivia Dean,1
83,Eternity,Alex Warren,6
84,Which One,Drake & Central Cee,5
85,Last One To Know,Gavin Adcock,2
86,Heart Of Stone,Jelly Roll,2
87,Went Legit,G Herbo,8
88,Sacrifice,Mariah The Scientist,1
89,Frecuencia,Dareyes De La Sierra,6
90,Typa,Glorilla,11
91,Lover Girl,Laufey,1
92,Holy Water,Marshmello X Jelly Roll,1
93,Let Down,Radiohead,2
94,Somebody,Latto,3
95,Tn,Morgan Wallen,15
96,Ring Ring Ring,"Tyler, The Creator",6
97,Bloodline,Alex Warren With Jelly Roll,13
98,Gnarly,Katseye,6
99,Tu Sancho,Fuerza Regida,10
100,What Kinda Man,Parker Mccollum,2
